Period,Region,State,Year,Added & Replaced,Colony Loss,Colony loss %,Disease_unformated,Diseases %,Inventory,"Loss, Colony Collapse Disorder",Other causes %,Other Causes_unformatted,Other Pests %,Other pests_unformatted,Percent Colony Loss,Pesticides %,pesticides_unformatted,Renovated - Inventory,Renovated - Inventory Measured In Pct Of Colonies,Renovated - Inventory Pct,Unknown Causes %,Unknown_unformatted,Varroa Mites %,Varroa Mites_unformatted
JAN THRU MAR,South,TEXAS,2022,80000,37000,0.09,0.6,0.006,270000,10500,0.06,6,0.021,2.1,9,0.036,3.6,34000,,9,0.015,1.5,21.20%,21.2
OCT THRU DEC,Midwest,NEBRASKA,2020,280,7000,0.16,0.5,0.005,43000,4700,0.014,1.4,,,16,,,2500,,6,0.063,6.3,3.60%,3.6
JUL THRU SEP,West,MONTANA,2021,870,6000,0.05,1.2,0.012,103000,670,0.148,14.8,0.015,1.5,5,,,7500,,7,0.005,0.5,19.50%,19.5
JAN THRU MAR,Northeast,MASSACHUSETTS,2015,260,1000,0.22,2.1,0.021,2900,,0.076,7.6,0.035,3.5,22,0.028,2.8,120,,3,0.047,4.7,23.50%,23.5
OCT THRU DEC,South,OKLAHOMA,2019,460,2500,0.07,0,0,6500,160,0.004,0.4,0.004,0.4,7,0.004,0.4,,,0,0.001,0.1,1.00%,1
OCT THRU DEC,South,NORTH CAROLINA,2019,240,3200,0.18,4.5,0.045,17500,360,0.157,15.7,0.21,21,18,0.024,2.4,770,,4,0.117,11.7,44.50%,44.5
APR THRU JUN,Midwest,KANSAS,2020,1900,680,0.09,24,0.24,7500,270,0.289,28.9,0.341,34.1,9,0.328,32.8,1800,,23,0.143,14.3,68.40%,68.4
JUL THRU SEP,West,NEW MEXICO,2018,3800,1200,0.17,0,0,6000,,0.004,0.4,0,0,17,0.123,12.3,1000,,14,0.002,0.2,0.00%,0
JAN THRU MAR,South,MARYLAND,2015,1600,4100,0.41,0.4,0.004,7500,,0.242,24.2,0.018,1.8,41,0,0,870,,9,0.124,12.4,10.10%,10.1
APR THRU JUN,South,MISSISSIPPI,2022,16000,4000,0.09,,,46000,570,0.152,15.2,0.153,15.3,9,0.007,0.7,7000,,15,0.089,8.9,25.40%,25.4
APR THRU JUN,South,ALABAMA,2016,1200,930,0.12,0.3,0.003,8000,,0.048,4.8,0.082,8.2,12,0.017,1.7,690,,9,0.054,5.4,9.60%,9.6
JUL THRU SEP,Midwest,ILLINOIS,2018,700,660,0.06,2.1,0.021,11000,,0.015,1.5,0.106,10.6,6,0.051,5.1,420,,4,0.07,7,21.20%,21.2
JAN THRU MAR,South,FLORIDA,2015,54000,42000,0.13,0.8,0.008,305000,,0.051,5.1,0.135,13.5,13,0.089,8.9,25000,,8,0.044,4.4,22.30%,22.3
JAN THRU MAR,South,VIRGINIA,2016,560,1100,0.17,0,0,6500,,0.05,5,0.073,7.3,17,0.004,0.4,70,,1,0.038,3.8,32.70%,32.7
OCT THRU DEC,West,MONTANA,2017,5500,13000,0.11,3.1,0.031,115000,,0.053,5.3,0.041,4.1,11,0.059,5.9,2900,,2,0.041,4.1,54.20%,54.2
JAN THRU MAR,Midwest,MINNESOTA,2019,80,2200,0.05,1.9,0.019,17000,1900,0.02,2,0.002,0.2,5,0,0,470,,1,0.008,0.8,1.30%,1.3
JAN THRU MAR,Midwest,NORTH DAKOTA,2017,1100,640,0.01,0,0,50000,,0.002,0.2,0,0,1,0,0,10,,,0.002,0.2,0.80%,0.8
APR THRU JUN,Midwest,MISSOURI,2018,2100,390,0.06,0.8,0.008,7000,,0.083,8.3,0.132,13.2,6,0.015,1.5,800,,11,0.026,2.6,11.80%,11.8
JUL THRU SEP,South,ALABAMA,2019,160,990,0.14,2.9,0.029,7000,180,0.097,9.7,0.246,24.6,14,0.002,0.2,330,,5,0.064,6.4,30.60%,30.6
OCT THRU DEC,South,LOUISIANA,2016,250,2000,0.04,1,0.01,48000,,0.007,0.7,0.01,1,4,0.001,0.1,340,,1,0.012,1.2,2.90%,2.9
JAN THRU MAR,South,MISSISSIPPI,2018,28000,2000,0.06,,,19000,,0.024,2.4,0.048,4.8,6,0.006,0.6,5500,,17,0.344,34.4,7.00%,7
JAN THRU MAR,South,SOUTH CAROLINA,2021,930,1200,0.07,,,15500,160,0.041,4.1,0.101,10.1,7,0.032,3.2,190,,1,0.009,0.9,48.50%,48.5
OCT THRU DEC,Northeast,MAINE,2017,220,60,0.01,0.4,0.004,5500,,0.006,0.6,0.062,6.2,1,0,0,110,,2,0,0,24.90%,24.9
APR THRU JUN,Northeast,NEW JERSEY,2020,1500,710,0.03,21.5,0.215,7000,10,0.217,21.7,0.008,0.8,3,,,650,,3,,,15.40%,15.4
OCT THRU DEC,South,WEST VIRGINIA,2017,70,1200,0.14,2.4,0.024,8500,,0.078,7.8,0.053,5.3,14,0.001,0.1,1600,,19,0.036,3.6,60.10%,60.1
JAN THRU MAR,West,HAWAII,2018,1200,1600,0.09,0.1,0.001,17000,,0.001,0.1,0.845,84.5,9,0,0,5000,,29,,,83.00%,83
APR THRU JUN,Midwest,IOWA,2015,6500,1400,0.06,2.9,0.029,12500,,0.027,2.7,0.051,5.1,6,0.078,7.8,3100,,13,0.019,1.9,21.50%,21.5
APR THRU JUN,West,ARIZONA,2021,12000,4300,0.17,3.6,0.036,26000,1300,0.071,7.1,0,0,17,0.012,1.2,3700,,14,0.069,6.9,7.40%,7.4
OCT THRU DEC,West,OREGON,2020,7000,15500,0.13,3.7,0.037,122000,3700,0.038,3.8,0.046,4.6,13,0.016,1.6,2600,,2,0.039,3.9,28.50%,28.5
APR THRU JUN,Midwest,SOUTH DAKOTA,2020,10000,4600,0.02,4.8,0.048,9500,2800,0.525,52.5,0.464,46.4,2,,,14500,,7,0.053,5.3,53.30%,53.3
JAN THRU MAR,Midwest,MINNESOTA,2015,690,3700,0.05,0,0,28000,,0.016,1.6,0.001,0.1,5,0.001,0.1,530,,1,0.021,2.1,1.40%,1.4
OCT THRU DEC,Midwest,ILLINOIS,2021,180,1300,0.1,2.4,0.024,12500,340,0.023,2.3,0.091,9.1,10,0.014,1.4,810,,6,0.072,7.2,31.90%,31.9
JUL THRU SEP,Midwest,IOWA,2018,1200,3600,0.06,8.5,0.085,56000,,0.019,1.9,0.098,9.8,6,0.004,0.4,990,,2,0.004,0.4,29.90%,29.9
APR THRU JUN,South,WEST VIRGINIA,2016,2600,990,0.14,4.2,0.042,7000,,0.147,14.7,0.008,0.8,14,0,0,160,,2,0.007,0.7,20.10%,20.1
APR THRU JUN,West,CALIFORNIA,2015,170000,104000,0.1,7.8,0.078,1040000,,0.142,14.2,0.215,21.5,10,0.23,23,285000,,27,0.031,3.1,50.90%,50.9
APR THRU JUN,Midwest,SOUTH DAKOTA,2022,2100,4100,0.02,0,0,13500,150,0.129,12.9,0.293,29.3,2,0.025,2.5,19000,,10,0.012,1.2,44.50%,44.5
APR THRU JUN,Midwest,MISSOURI,2022,6000,1500,0.14,0.9,0.009,10500,110,0.028,2.8,0.031,3.1,14,0.005,0.5,4800,,46,0.012,1.2,11.50%,11.5
APR THRU JUN,Midwest,MISSOURI,2016,1800,770,0.06,0.7,0.007,12000,,0.016,1.6,0.016,1.6,6,0.001,0.1,730,,6,0.012,1.2,17.20%,17.2
APR THRU JUN,West,NEW MEXICO,2018,1700,50,0.01,0.3,0.003,1900,,0.002,0.2,0.001,0.1,1,0,0,450,,10,0.01,1,0.30%,0.3
JUL THRU SEP,South,GEORGIA,2016,12500,13000,0.13,2.4,0.024,102000,,0.076,7.6,0.164,16.4,13,0.121,12.1,2300,,2,0.045,4.5,30.70%,30.7
APR THRU JUN,South,OKLAHOMA,2016,4000,310,0.02,0.2,0.002,12000,,0.006,0.6,0.028,2.8,2,0.012,1.2,10000,,77,0.004,0.4,51.80%,51.8
APR THRU JUN,South,OKLAHOMA,2022,10500,1100,0.06,0,0,12500,30,0.078,7.8,0.026,2.6,6,0.014,1.4,2100,,11,0.007,0.7,8.40%,8.4
APR THRU JUN,Northeast,PENNSYLVANIA,2017,7500,540,0.03,0.7,0.007,15500,,0.024,2.4,0.01,1,3,0.015,1.5,2300,,13,0.015,1.5,13.50%,13.5
JUL THRU SEP,South,VIRGINIA,2017,430,1200,0.1,1.5,0.015,11500,,0.044,4.4,0.265,26.5,10,0.005,0.5,430,,4,0.016,1.6,50.30%,50.3
APR THRU JUN,West,NEW MEXICO,2015,1500,1000,0.12,15.5,0.155,6500,,0.004,0.4,0,0,12,0.059,5.9,330,,4,0.027,2.7,38.80%,38.8
JUL THRU SEP,Midwest,WISCONSIN,2019,2400,6500,0.1,13.9,0.139,63000,820,0.065,6.5,0.205,20.5,10,0.181,18.1,10000,,16,0.039,3.9,46.40%,46.4
JAN THRU MAR,Midwest,KANSAS,2020,2000,760,0.12,7.8,0.078,4500,700,0.031,3.1,0.081,8.1,12,0.078,7.8,130,,2,0.113,11.3,13.30%,13.3
OCT THRU DEC,West,COLORADO,2019,1100,8000,0.3,0,0,27000,1400,0.026,2.6,0.015,1.5,30,0.153,15.3,440,,2,0.008,0.8,67.70%,67.7
APR THRU JUN,Midwest,INDIANA,2021,4000,560,0.04,0.6,0.006,11000,230,0.061,6.1,0.073,7.3,4,0.07,7,1000,,8,0.013,1.3,22.80%,22.8
APR THRU JUN,West,ARIZONA,2015,19500,5500,0.17,0.5,0.005,33000,,0.282,28.2,0.321,32.1,17,0.201,20.1,7000,,21,0.003,0.3,8.40%,8.4
APR THRU JUN,Midwest,KANSAS,2018,3500,300,0.08,1.3,0.013,3900,,0.021,2.1,0.316,31.6,8,0.249,24.9,2100,,54,0.016,1.6,42.80%,42.8
JAN THRU MAR,South,FLORIDA,2018,57000,39000,0.15,4.5,0.045,245000,,0.055,5.5,0.153,15.3,15,0.092,9.2,38000,,15,0.16,16,31.70%,31.7
JUL THRU SEP,West,CALIFORNIA,2021,47000,25000,0.04,14.2,0.142,650000,10500,0.11,11,0.165,16.5,4,0.13,13,51000,,8,0.05,5,39.60%,39.6
JUL THRU SEP,Northeast,NEW YORK,2020,5500,3600,0.06,6.3,0.063,61000,850,0.021,2.1,0.078,7.8,6,0.033,3.3,1600,,3,0.011,1.1,18.20%,18.2
OCT THRU DEC,South,MARYLAND,2017,20,1300,0.12,0.2,0.002,8000,,0.018,1.8,0.031,3.1,12,0.011,1.1,410,,4,0.078,7.8,7.90%,7.9
JAN THRU MAR,West,CALIFORNIA,2015,250000,255000,0.15,3,0.03,1440000,,0.065,6.5,0.072,7.2,15,0.075,7.5,124000,,7,0.028,2.8,24.70%,24.7
OCT THRU DEC,Northeast,MASSACHUSETTS,2015,30,260,0.06,6.2,0.062,4500,,0.026,2.6,0.016,1.6,6,0.019,1.9,30,,1,0.011,1.1,31.40%,31.4
JAN THRU MAR,West,CALIFORNIA,2016,210000,200000,0.14,9,0.09,1130000,,0.084,8.4,0.152,15.2,14,0.135,13.5,139000,,10,0.044,4.4,38.10%,38.1
OCT THRU DEC,South,MISSISSIPPI,2015,500,1500,0.04,0.3,0.003,31000,,0.007,0.7,0.025,2.5,4,0,0,230,,1,0.013,1.3,10.60%,10.6
JAN THRU MAR,Midwest,SOUTH DAKOTA,2019,0,1100,0.06,0,0,18500,2400,0.008,0.8,,,6,0.025,2.5,0,,0,0.022,2.2,0.80%,0.8
APR THRU JUN,Midwest,OHIO,2016,6000,1700,0.1,0.6,0.006,14000,,0.029,2.9,0.022,2.2,10,0.183,18.3,1100,,7,0.014,1.4,10.60%,10.6
OCT THRU DEC,South,LOUISIANA,2018,130,2600,0.05,0.3,0.003,50000,,0.01,1,0.067,6.7,5,0.059,5.9,200,,,0.017,1.7,16.60%,16.6
JAN THRU MAR,Northeast,VERMONT,2018,20,810,0.15,0.3,0.003,5500,,0.02,2,0.012,1.2,15,0.006,0.6,0,,0,0.008,0.8,17.00%,17
JAN THRU MAR,West,IDAHO,2019,4600,12500,0.09,8,0.08,132000,3700,0.086,8.6,0.08,8,9,0.092,9.2,1100,,1,,,24.50%,24.5
OCT THRU DEC,Midwest,MINNESOTA,2016,0,13500,0.12,3.1,0.031,113000,,0.05,5,0.077,7.7,12,0.176,17.6,0,,0,0.089,8.9,27.50%,27.5
OCT THRU DEC,Midwest,NEBRASKA,2021,10,7500,0.17,2.8,0.028,43000,2200,0.018,1.8,0.015,1.5,17,0.042,4.2,250,,1,,,28.00%,28
APR THRU JUN,South,LOUISIANA,2018,4900,1400,0.03,0.2,0.002,48000,,0.012,1.2,0.059,5.9,3,0.008,0.8,4000,,8,0.013,1.3,8.10%,8.1
JUL THRU SEP,South,GEORGIA,2017,19000,15500,0.13,2.3,0.023,121000,,0.151,15.1,0.18,18,13,0.141,14.1,23000,,19,0.069,6.9,47.60%,47.6
APR THRU JUN,South,FLORIDA,2020,25000,40000,0.13,3.4,0.034,310000,12000,0.059,5.9,0.16,16,13,0.058,5.8,18500,,6,0.079,7.9,33.10%,33.1
JAN THRU MAR,Midwest,MICHIGAN,2015,7500,11500,0.19,1.1,0.011,16500,,0.083,8.3,0.031,3.1,19,0.016,1.6,2400,,4,0.046,4.6,14.30%,14.3
OCT THRU DEC,South,ALABAMA,2019,240,660,0.11,0.6,0.006,6000,110,0.09,9,0.267,26.7,11,0.049,4.9,70,,1,0.113,11.3,46.70%,46.7
OCT THRU DEC,Northeast,MAINE,2021,70,700,0.13,0,0,5500,30,0.152,15.2,0.181,18.1,13,0,0,160,,3,0.02,2,29.30%,29.3
OCT THRU DEC,Northeast,CONNECTICUT,2020,20,500,0.11,0.1,0.001,4300,0,0.043,4.3,0.009,0.9,11,0,0,20,,,0.082,8.2,49.40%,49.4
JUL THRU SEP,Northeast,MAINE,2021,380,1400,0.14,,,10000,50,0.17,17,0,0,14,0.05,5,210,,2,0,0,18.70%,18.7
JUL THRU SEP,West,UTAH,2020,1500,2000,0.07,,,24000,200,0.037,3.7,,,7,0.316,31.6,2300,,8,0.039,3.9,61.70%,61.7
APR THRU JUN,Northeast,PENNSYLVANIA,2021,7000,2000,0.09,1.4,0.014,20000,430,0.012,1.2,0.05,5,9,0.026,2.6,2700,,12,0.005,0.5,21.40%,21.4
JAN THRU MAR,Midwest,SOUTH DAKOTA,2022,40,1000,0.04,0,0,21000,490,0.018,1.8,0.034,3.4,4,,,0,,0,,,4.20%,4.2
JUL THRU SEP,Northeast,MASSACHUSETTS,2015,290,560,0.08,0.4,0.004,7500,,0.025,2.5,0.029,2.9,8,0.021,2.1,400,,5,0.003,0.3,16.30%,16.3
APR THRU JUN,West,MONTANA,2015,14000,4200,0.02,0.8,0.008,36000,,0.016,1.6,0.009,0.9,2,0.053,5.3,33000,,16,0,0,9.00%,9
OCT THRU DEC,West,HAWAII,2020,200,2700,0.12,,,22000,40,0.029,2.9,0.652,65.2,12,0,0,370,,2,0,0,57.20%,57.2
APR THRU JUN,South,NORTH CAROLINA,2020,6000,1600,0.06,1.9,0.019,24000,290,0.018,1.8,0.055,5.5,6,0,0,1300,,5,0.014,1.4,23.00%,23
JAN THRU MAR,Midwest,KANSAS,2021,1000,1400,0.18,0,0,5000,190,0.191,19.1,0.028,2.8,18,0,0,10,,,0.022,2.2,25.70%,25.7
APR THRU JUN,South,WEST VIRGINIA,2015,2900,570,0.12,0.6,0.006,4700,,0.046,4.6,0.083,8.3,12,0.027,2.7,590,,13,0.044,4.4,15.60%,15.6
JUL THRU SEP,Midwest,ILLINOIS,2021,640,680,0.05,1.4,0.014,14500,170,0.044,4.4,0.095,9.5,5,0.033,3.3,1200,,8,0.057,5.7,37.70%,37.7
OCT THRU DEC,South,OKLAHOMA,2021,230,1400,0.07,,,3300,190,,,0.032,3.2,7,0.005,0.5,950,,5,0.008,0.8,5.60%,5.6
APR THRU JUN,Northeast,MAINE,2016,510,4200,0.17,4.3,0.043,3600,,0.024,2.4,0,0,17,0.311,31.1,560,,2,0.279,27.9,82.70%,82.7
JAN THRU MAR,West,WASHINGTON,2022,1400,7500,0.07,3.6,0.036,70000,3400,0.026,2.6,0.04,4,7,0,0,6000,,6,,,8.30%,8.3
JAN THRU MAR,West,WYOMING,2022,20,180,0.02,0,0,6000,760,0.012,1.2,0,0,2,0,0,0,,0,0.008,0.8,1.30%,1.3
OCT THRU DEC,South,VIRGINIA,2015,0,750,0.1,0.4,0.004,7500,,0.058,5.8,0.172,17.2,10,0,0,350,,5,0.104,10.4,26.30%,26.3
JAN THRU MAR,Midwest,KANSAS,2015,450,1600,0.23,1.1,0.011,4600,,0.095,9.5,0.013,1.3,23,0.142,14.2,70,,1,0.034,3.4,32.70%,32.7
APR THRU JUN,South,TENNESSEE,2018,3800,1200,0.15,3,0.03,8000,,0.062,6.2,0.229,22.9,15,0.034,3.4,1300,,16,0.025,2.5,30.00%,30
JUL THRU SEP,Midwest,KANSAS,2021,500,1600,0.18,10.1,0.101,9000,450,0.177,17.7,0.311,31.1,18,0.149,14.9,1300,,14,0.147,14.7,66.80%,66.8
APR THRU JUN,Midwest,WISCONSIN,2018,12000,6500,0.12,18.3,0.183,26000,,0.295,29.5,0.169,16.9,12,0.271,27.1,7000,,13,0.008,0.8,32.10%,32.1
APR THRU JUN,Midwest,IOWA,2017,23000,2400,0.1,7.5,0.075,12000,,0.081,8.1,0.276,27.6,10,0.266,26.6,3900,,17,0.009,0.9,39.30%,39.3
APR THRU JUN,Midwest,MISSOURI,2015,1900,500,0.04,3.1,0.031,11500,,0.01,1,0.062,6.2,4,0.016,1.6,1800,,14,0.074,7.4,5.10%,5.1
OCT THRU DEC,West,WASHINGTON,2015,330,6500,0.07,0.1,0.001,87000,,0.03,3,0.001,0.1,7,0.003,0.3,170,,0,0.015,1.5,6.90%,6.9
OCT THRU DEC,South,ARKANSAS,2021,920,480,0.03,0,0,18000,250,0.006,0.6,0.282,28.2,3,0.256,25.6,100,,1,0.007,0.7,35.70%,35.7
JAN THRU MAR,West,WASHINGTON,2018,7000,4600,0.05,1,0.01,44000,,0.004,0.4,0.009,0.9,5,0.019,1.9,870,,1,0.004,0.4,8.50%,8.5
JUL THRU SEP,Midwest,SOUTH DAKOTA,2018,8000,22000,0.11,3.3,0.033,168000,,0.45,45,0.329,32.9,11,0.085,8.5,6500,,3,0.016,1.6,54.70%,54.7
OCT THRU DEC,South,LOUISIANA,2015,1100,4900,0.07,0,0,55000,,0.024,2.4,0.01,1,7,0.006,0.6,2400,,3,0.002,0.2,10.90%,10.9
OCT THRU DEC,West,OREGON,2017,70,10000,0.11,28,0.28,94000,,0.039,3.9,0.233,23.3,11,0.142,14.2,18500,,20,0.018,1.8,50.60%,50.6
JUL THRU SEP,Midwest,NEBRASKA,2019,680,3700,0.09,1.8,0.018,40000,540,0.072,7.2,0.027,2.7,9,0.028,2.8,1400,,3,0.019,1.9,29.20%,29.2
JUL THRU SEP,Midwest,NORTH DAKOTA,2019,15000,81000,0.15,14.7,0.147,530000,7000,0.237,23.7,0.102,10.2,15,0.09,9,17500,,3,0.093,9.3,48.40%,48.4
OCT THRU DEC,South,GEORGIA,2015,4400,18000,0.15,5.3,0.053,110000,,0.037,3.7,0.139,13.9,15,0.045,4.5,1900,,2,0.013,1.3,43.50%,43.5
APR THRU JUN,Northeast,MAINE,2020,520,700,0.03,26.8,0.268,1600,0,0.005,0.5,,,3,0,0,110,,1,0,0,47.10%,47.1
APR THRU JUN,South,ALABAMA,2015,1900,860,0.12,0,0,7500,,0.032,3.2,0.425,42.5,12,0.023,2.3,680,,9,0.041,4.1,16.70%,16.7
JUL THRU SEP,South,MARYLAND,2020,1200,690,0.09,,,7500,60,0.006,0.6,0.048,4.8,9,,,220,,3,0.029,2.9,17.60%,17.6
APR THRU JUN,Midwest,WISCONSIN,2017,13000,4000,0.06,1.7,0.017,18000,,0.032,3.2,0.017,1.7,6,0.022,2.2,6500,,10,0.003,0.3,13.80%,13.8
JAN THRU MAR,West,IDAHO,2016,5500,8500,0.09,2.1,0.021,91000,,0.054,5.4,0.023,2.3,9,0.059,5.9,3300,,3,0.014,1.4,31.50%,31.5
OCT THRU DEC,West,HAWAII,2019,300,1300,0.08,0.2,0.002,17000,60,0.001,0.1,0.618,61.8,8,0.01,1,50,,,0,0,44.00%,44
JAN THRU MAR,Northeast,PENNSYLVANIA,2021,1100,5500,0.23,,,23000,1900,0.068,6.8,0.116,11.6,23,0,0,40,,,0.086,8.6,18.10%,18.1
JAN THRU MAR,South,MARYLAND,2022,1800,1900,0.25,0.6,0.006,6500,130,0.121,12.1,0.074,7.4,25,0.023,2.3,1000,,13,0.136,13.6,13.70%,13.7
JAN THRU MAR,South,OKLAHOMA,2018,890,3700,0.21,3.2,0.032,17000,,0.031,3.1,0.085,8.5,21,0.001,0.1,240,,1,0.02,2,24.10%,24.1
JAN THRU MAR,West,ARIZONA,2021,4500,6500,0.23,6,0.06,28000,1000,0.005,0.5,0.061,6.1,23,0,0,4500,,16,0.038,3.8,6.70%,6.7
JUL THRU SEP,South,WEST VIRGINIA,2016,130,190,0.03,3.6,0.036,7500,,0.081,8.1,0.071,7.1,3,0.001,0.1,220,,3,0.004,0.4,41.50%,41.5
JAN THRU MAR,Northeast,NEW YORK,2016,970,4200,0.13,1.5,0.015,31000,,0.095,9.5,0.059,5.9,13,0.076,7.6,600,,2,0.026,2.6,27.50%,27.5
APR THRU JUN,West,ARIZONA,2022,17500,3100,0.1,1.3,0.013,31000,820,0.048,4.8,,,10,0,0,2800,,9,,,8.40%,8.4
APR THRU JUN,Northeast,CONNECTICUT,2016,390,100,0.04,0.5,0.005,2500,,0.044,4.4,0.006,0.6,4,0.003,0.3,60,,2,0.012,1.2,9.30%,9.3
OCT THRU DEC,South,OKLAHOMA,2020,250,300,0.01,,,7000,20,,,0.011,1.1,1,,,,,0,0.008,0.8,2.30%,2.3
JUL THRU SEP,South,VIRGINIA,2021,530,890,0.08,0.9,0.009,10500,330,0.046,4.6,0.121,12.1,8,0.008,0.8,750,,7,0.019,1.9,19.20%,19.2
JAN THRU MAR,South,MARYLAND,2021,1300,1800,0.26,0,0,7000,110,0.197,19.7,0.011,1.1,26,,,240,,3,0.027,2.7,34.60%,34.6
APR THRU JUN,Midwest,MICHIGAN,2022,13000,3200,0.04,3,0.03,74000,3000,0.027,2.7,,,4,0.069,6.9,3500,,4,,,10.40%,10.4
JAN THRU MAR,Midwest,INDIANA,2015,490,2100,0.22,0.2,0.002,9000,,0.223,22.3,0.003,0.3,22,0.003,0.3,120,,1,0.117,11.7,20.70%,20.7
OCT THRU DEC,Northeast,NEW JERSEY,2021,350,430,0.02,,,19500,0,,,0.059,5.9,2,0,0,,,0,,,8.60%,8.6
JUL THRU SEP,West,IDAHO,2018,15000,14000,0.14,14.6,0.146,82000,,0.138,13.8,0.054,5.4,14,0.265,26.5,21000,,21,0.057,5.7,83.60%,83.6
JUL THRU SEP,South,NORTH CAROLINA,2017,4100,3300,0.12,3.3,0.033,26000,,0.076,7.6,0.361,36.1,12,0.203,20.3,2900,,11,0.018,1.8,74.50%,74.5
JUL THRU SEP,West,IDAHO,2017,9000,12000,0.1,6.7,0.067,89000,,0.095,9.5,0.191,19.1,10,0.155,15.5,16500,,14,0.051,5.1,53.70%,53.7
JUL THRU SEP,Midwest,NEBRASKA,2016,390,8500,0.18,0.1,0.001,45000,,0.016,1.6,0.016,1.6,18,0.102,10.2,27000,,57,0.001,0.1,20.40%,20.4
JUL THRU SEP,Northeast,VERMONT,2018,1200,90,0.01,4.3,0.043,7000,,0.003,0.3,0.049,4.9,1,0.241,24.1,80,,1,0,0,29.30%,29.3
JAN THRU MAR,West,MONTANA,2016,24000,900,0.01,0,0,16500,,0.001,0.1,0,0,1,0.005,0.5,0,,0,0,0,0.60%,0.6
JUL THRU SEP,Northeast,NEW YORK,2016,1900,10000,0.18,5.5,0.055,56000,,0.247,24.7,0.09,9,18,0.052,5.2,800,,1,0.026,2.6,37.40%,37.4
JAN THRU MAR,South,ARKANSAS,2020,1800,1600,0.1,,,16500,390,,,0.227,22.7,10,0.026,2.6,30,,,0.112,11.2,31.70%,31.7
APR THRU JUN,Midwest,MINNESOTA,2017,19000,12000,0.09,2.3,0.023,32000,,0.066,6.6,0.047,4.7,9,0.128,12.8,8500,,7,0.022,2.2,20.50%,20.5
JUL THRU SEP,Northeast,PENNSYLVANIA,2017,6000,1500,0.08,2.7,0.027,18500,,0.022,2.2,0.057,5.7,8,0.037,3.7,1600,,9,0.009,0.9,41.40%,41.4
JUL THRU SEP,South,FLORIDA,2018,53000,30000,0.14,4.2,0.042,197000,,0.143,14.3,0.205,20.5,14,0.076,7.6,40000,,18,0.098,9.8,35.00%,35
OCT THRU DEC,South,FLORIDA,2015,30000,37000,0.14,2.5,0.025,220000,,0.03,3,0.184,18.4,14,0.068,6.8,28000,,11,0.042,4.2,27.30%,27.3
JUL THRU SEP,South,GEORGIA,2018,27000,17000,0.12,2.4,0.024,134000,,0.06,6,0.204,20.4,12,0.277,27.7,33000,,24,0.072,7.2,49.80%,49.8
APR THRU JUN,Northeast,VERMONT,2017,390,170,0.02,0.3,0.003,6000,,0.002,0.2,0.003,0.3,2,0,0,190,,2,0.005,0.5,3.30%,3.3
JAN THRU MAR,South,GEORGIA,2022,26000,14000,0.12,0.6,0.006,118000,7000,0.059,5.9,0.174,17.4,12,0.051,5.1,18000,,15,0.03,3,41.20%,41.2
APR THRU JUN,South,TEXAS,2021,67000,74000,0.17,0,0,365000,780,0.057,5.7,0.034,3.4,17,0.115,11.5,72000,,17,,,38.10%,38.1
JAN THRU MAR,South,LOUISIANA,2021,3600,7000,0.13,0,0,51000,450,0.1,10,0.038,3.8,13,0.016,1.6,3000,,6,0.011,1.1,62.10%,62.1
APR THRU JUN,Northeast,CONNECTICUT,2018,340,120,0.03,0.4,0.004,3600,,0.008,0.8,0.009,0.9,3,0.008,0.8,170,,5,0.004,0.4,11.10%,11.1
OCT THRU DEC,South,VIRGINIA,2020,70,1000,0.12,1.6,0.016,8000,160,0.054,5.4,0.136,13.6,12,0.02,2,450,,5,0.029,2.9,30.30%,30.3
JUL THRU SEP,West,NEW MEXICO,2020,3300,1600,0.29,0,0,5500,0,0.005,0.5,0.329,32.9,29,0,0,760,,14,,,33.80%,33.8
JUL THRU SEP,Midwest,NEBRASKA,2018,8500,6500,0.12,5.9,0.059,52000,,0.043,4.3,0.032,3.2,12,0.065,6.5,5000,,9,0.04,4,24.10%,24.1
JAN THRU MAR,Midwest,INDIANA,2016,30,770,0.12,0.9,0.009,6500,,0.072,7.2,0.037,3.7,12,0.003,0.3,0,,0,0.055,5.5,17.40%,17.4
JAN THRU MAR,South,TEXAS,2018,124000,32000,0.11,4.8,0.048,205000,,0.017,1.7,0.101,10.1,11,0.002,0.2,42000,,14,0.103,10.3,21.50%,21.5
OCT THRU DEC,South,VIRGINIA,2021,160,930,0.11,0.8,0.008,8500,280,0.052,5.2,0.191,19.1,11,0.005,0.5,210,,2,0.032,3.2,31.80%,31.8
OCT THRU DEC,West,HAWAII,2018,1700,940,0.06,,,16000,,0.001,0.1,0.833,83.3,6,0,0,6000,,38,0,0,70.50%,70.5
JAN THRU MAR,Midwest,IOWA,2015,1700,3100,0.18,4.6,0.046,12500,,0.18,18,0.007,0.7,18,0.034,3.4,270,,2,0.034,3.4,26.00%,26
JAN THRU MAR,Midwest,MICHIGAN,2016,2300,5000,0.12,0,0,25000,,0.013,1.3,0.002,0.2,12,0.005,0.5,80,,0,0.113,11.3,5.90%,5.9
OCT THRU DEC,South,TENNESSEE,2019,20,1300,0.12,0,0,11000,390,0.076,7.6,0.535,53.5,12,0.336,33.6,70,,1,0.091,9.1,66.60%,66.6
OCT THRU DEC,West,WYOMING,2016,50,2200,0.08,3.1,0.031,25000,,0.011,1.1,0.016,1.6,8,0.052,5.2,0,,0,0,0,32.20%,32.2
